LakeID,Param,Value
TAYLORSPOND,SandGrains,81
SGL22,Latitude,46.87828
SGL22,Longitude,-55.7461
SGL22,Depth,2.5
SGL22,Area,16
SGL22,DistanceToTheSea,965.99
SGL22,N,0.6
SGL22,P,0.009
SGL22,SiO2,1.4
SGL22,DOC,12
SGL22,ODO,98.2
SGL22,pH,7.16
SGL22,Cond,85
SGL22,Sal,0.04
SGL22,Temp,20.83
SGL22,LOI,42.15328467153263
SGL22,SandGrains,3
SGL102,Latitude,47.06905
SGL102,Longitude,-55.1275
SGL102,Depth,4.8
SGL102,Area,10.5
SGL102,DistanceToTheSea,1242.5
SGL102,N,0.4
SGL102,P,0.005
SGL102,SiO2,0.6
SGL102,DOC,4
SGL102,ODO,98.3
SGL102,pH,7.67
SGL102,Cond,98.3
SGL102,Sal,0.05
SGL102,Temp,20.5
SGL102,LOI,26.928702010969133
SGL102,SandGrains,4
SGL103,Latitude,47.05294
SGL103,Longitude,-55.15477
SGL103,Depth,3
SGL103,Area,2.7
SGL103,DistanceToTheSea,380.81
SGL103,N,0.6
SGL103,P,0.011
SGL103,SiO2,0.4
SGL103,DOC,9
SGL103,ODO,97.1
SGL103,pH,7.24
SGL103,Cond,68.6
SGL103,Sal,0.03
SGL103,Temp,20.4
SGL103,LOI,38.01862828111811
SGL103,SandGrains,2
SGL104,Latitude,46.92112
SGL104,Longitude,-55.57198
SGL104,Depth,0.1
SGL104,Area,1.4
SGL104,DistanceToTheSea,37.5
SGL104,N,0.5
SGL104,P,0.023
SGL104,SiO2,0.1
SGL104,DOC,3
SGL104,ODO,156
SGL104,pH,8.52
SGL104,Cond,34620
SGL104,Sal,23.66
SGL104,Temp,21.3
SGL104,LOI,2.8517397881997675
SGL104,SandGrains,12049
SGL105,Latitude,46.89996
SGL105,Longitude,-55.61874
SGL105,Depth,0.1
SGL105,Area,1.3
SGL105,DistanceToTheSea,210.78
SGL105,N,1
SGL105,P,0.111
SGL105,SiO2,2.5
SGL105,DOC,16
SGL105,ODO,205.5
SGL105,pH,7.61
SGL105,Cond,5713.5
SGL105,Sal,3.19
SGL105,Temp,23.5
SGL105,LOI,2.9401102088166775
SGL105,SandGrains,41080
SGL08,Latitude,47.10192
SGL08,Longitude,-55.7672
SGL08,Depth,0.6
SGL08,Area,4
SGL08,DistanceToTheSea,30.24
SGL08,N,0.9
SGL08,P,0.051
SGL08,SiO2,5
SGL08,DOC,27
SGL08,ODO,83.8
SGL08,pH,6.57
SGL08,Cond,232.5
SGL08,Sal,0.12
SGL08,Temp,19.5
SGL08,LOI,52.04307012700179
SGL08,SandGrains,27
SGL106,Latitude,47.09792
SGL106,Longitude,-55.73861
SGL106,Depth,0.5
SGL106,Area,0.1
SGL106,DistanceToTheSea,14.39
SGL106,N,0.7
SGL106,P,0.013
SGL106,SiO2,3.9
SGL106,DOC,19
SGL106,ODO,94.1
SGL106,pH,6.83
SGL106,Cond,278
SGL106,Sal,0.15
SGL106,Temp,19
SGL106,LOI,30.112359550561635
SGL106,SandGrains,1241
SGL107,Latitude,47.09302
SGL107,Longitude,-55.69913
SGL107,Depth,1
SGL107,Area,2.1
SGL107,DistanceToTheSea,19.89
SGL107,N,0.8
SGL107,P,0.022
SGL107,SiO2,3
SGL107,DOC,28
SGL107,ODO,90.1
SGL107,pH,6.35
SGL107,Cond,69.9
SGL107,Sal,0.04
SGL107,Temp,20.22
SGL107,LOI,67.7394238255901
SGL107,SandGrains,0
SGL108,Latitude,47.09128
SGL108,Longitude,-55.69385
SGL108,Depth,0.5
SGL108,Area,0.3
SGL108,DistanceToTheSea,12.05
SGL108,N,0.8
SGL108,P,0.021
SGL108,SiO2,4
SGL108,DOC,27
SGL108,ODO,95.7
SGL108,pH,6.87
SGL108,Cond,2240.9
SGL108,Sal,1.27
SGL108,Temp,20.3
SGL108,LOI,13.016290933026202
SGL108,SandGrains,123
SGL07,Latitude,47.09071
SGL07,Longitude,-55.68565
SGL07,Depth,1.2
SGL07,Area,43.9
SGL07,DistanceToTheSea,25
SGL07,N,0.6
SGL07,P,0.056
SGL07,SiO2,0.2
SGL07,DOC,4
SGL07,ODO,128.6
SGL07,pH,8.04
SGL07,Cond,39752.8
SGL07,Sal,28.92
SGL07,Temp,19.27
SGL07,LOI,40.61955469506313
SGL07,SandGrains,3
SGL06,Latitude,47.10508
SGL06,Longitude,-55.62524
SGL06,Depth,0.9
SGL06,Area,27
SGL06,DistanceToTheSea,50
SGL06,N,0.5
SGL06,P,0.006
SGL06,SiO2,2.1
SGL06,DOC,7
SGL06,ODO,38.1
SGL06,pH,7.19
SGL06,Cond,38805.8
SGL06,Sal,28.39
SGL06,Temp,18.89
SGL06,LOI,31.37679732125307
SGL06,SandGrains,5
SGL05,Latitude,47.12899
SGL05,Longitude,-55.51227
SGL05,Depth,3.5
SGL05,Area,29.2
SGL05,DistanceToTheSea,627.18
SGL05,N,0.4
SGL05,P,0.005
SGL05,SiO2,5.2
SGL05,DOC,6
SGL05,ODO,98.9
SGL05,pH,7.31
SGL05,Cond,80.9
SGL05,Sal,0.04
SGL05,Temp,20.78
SGL05,LOI,31.50645208061455
SGL05,SandGrains,1
SGL109,Latitude,47.1528
SGL109,Longitude,-55.47696
SGL109,Depth,2.5
SGL109,Area,14.1
SGL109,DistanceToTheSea,50.76
SGL109,N,0.7
SGL109,P,0.032
SGL109,SiO2,4
SGL109,DOC,25
SGL109,ODO,90.8
SGL109,pH,5.73
SGL109,Cond,50.2
SGL109,Sal,0.02
SGL109,Temp,20.67
